Title,Abstract,Conclusion,Study_Area
20thCentury doubling in dust archived in an Antarctic Peninsula ice core parallels climate change and desertification in South America,,"Conclusions Our high-resolution ice core record of aluminum from the northern Antarctic Peninsula suggests that aluminosilicate dust in the local atmosphere doubled during the 20th century. These results are in agreement with previously reported decadal records of insoluble dust particle flux from two ice cores from the central and southern Antarctic Peninsula (13, 14), suggesting that the region of increased 20th-century dust f lux may be extensive. Although it is not possible to quantify how much of the recent doubling in dust levels at James Ross Island might be associated only with land-use changes, it is likely that overgrazing and deforestation together with global warming have led to desertification and thus to increased dust mobility and export from southern South America (7, 30). Atmospheric crustal dust also supplies iron, an essential nutrient for phytoplankton, to ocean surface waters and may indirectly affect climate by modulating the biological export of carbon to the deep ocean (3, 41). Relatively high surface water chlorophyll to the north of James Ross Island has been found to be highly correlated with present day Patagonian dust deposition (42). We hypothesize","['South America', 'Island', 'Antarctic Peninsula']"
20thcentury industrial black carbon emissions altered arctic climate forcing,,,[]
3D porescale modelling of sandstones and flow simulations in the pore networks,,"(1) Process/stochastic modelling of the sandstone-forming processes sedimentation, compaction, and diagenesis pro- vides a cost-effective and rapid method for generating repre- sentative 3-D pore-scale models of homogenous and hetero- geneous sandstones from thin section data.",[]
A 1 year record of global radiation and albedo in the ablation zone of Morteratschgletscher Switzerland,,,['Morteratschgletscher Switzerland']
A blackcarbon mitigation wedge,,,[]
A blended global snow product using visible passive microwave and scatterometer satellite data,,,[]
A classification scheme for deep seafloor habitats," Abstract - A standard, universally useful classification scheme for deepwater habitats needs to be established so that",,[]
A comparison of 1701 snow models using observations from an alpine site,,"Even the more physically-based parameterizations of snow pro- cesses contain parameters with values that are not well con- strained by observations or theory, and it is as easy to obtain poor model performance with poor choices of parameter values as it is with poor choices of model structure. Calibrating the parameters in a land surface model for global atmospheric model- ling applications is not straightforward, but models are often cali- brated for hydrological applications, and the organizers of intercomparison projects sometimes make a subset of the evalua- tion data available to allow a degree of model calibration. A full cal- ibration of JIM has not been attempted, but configuration number 1700 (2022222), which performed poorly in the original simula- tions, has been calibrated by random sampling of the five parame- ters amax, amin, d0, Tc and z0 to minimize the cost function for 2006?€? 2007. Errors for snow mass, snow depth, albedo and surface tem- perature are given in Table 10 for the uncalibrated and calibrated configuration, compared with errors for configuration number 849 (1011110) which performed well without calibration. Errors for the poorly performing configuration are greatly reduced by cal- ibration, but the overall performance of a configuration that per- forms well without calibration is not matched. 7. Conclusions and discussion",[]
A computerbased system simulating snowpack structures as a tool for regional avalanche forecasting,,,[]
A conceptual model of water yield effects from beetleinduced tree death in snowdominated lodgepole pine forests,"In regions of western North America with snow-dominated hydrology, the presence of forested watersheds can significantly influence streamflow compared to areas with other vegetation cover types. Widespread tree death in these watersheds can thus dramatically alter many ecohydrologic processes including transpiration, canopy solar transmission and snow interception, subcanopy wind regimes, soil infiltration, forest energy storage and snow surface albedo.One of themore important causes of conifer tree death is bark beetle infestation, which in some instances will kill nearly all of the canopy trees within forest stands. Since 1996, an ongoing outbreak of bark beetles (Coleoptera: Scolytidae) has caused widespread mortality across more than 600,000km2 of coniferous forests in western North America, including numerous RockyMountain headwaters catchments with high rates of lodgepole pine (Pinus contorta) mortality frommountain pin beetle (Dendroctonous ponderosae) infestations. Few empirical studies have documented the effects of MPB infestations on hydrologic processes, and little is known about the direction and magnitude of changes in water yield and timing of runoff due to insect- induced tree death. Here, we review and synthesize existing research and provide new results quantifying the effects of beetle infestations on canopy structure, snow interception and transmission to create a conceptualmodel of the hydrologic effects ofMPB-induced lodgepole pine death during different stages of mortality. We identify the primary hydrologic processes operating in living forest stands, stands in multiple stages of death and long-dead stands undergoing regeneration and estimate the direction of change in new water yield. This conceptual model is intended to identify avenues for future research efforts. Copyright ?? 2012 John Wiley & Sons, Ltd.",,['North America']
A coupled 1D atmosphere and 3D canopy radiative transfer model for canopy reflectance light environment and photosynthesis simulation in a heterogeneous ,Received 9 February 2007; received in revised form 21 April 2007; accepted 21 April 2007 Abstract,"Canopy shape affects the magnitude of canopy photosyn- thesis. Photosynthesis in cone-shaped canopy case is higher than that in sphere canopy case. This is mainly due to the difference of the area that is faced on the solar direction. The canopy with larger projected area for solar direction can perform more photosynthesis. Fig. 14 (right) shows the AOT depen- dency of the light use efficiency (LUE). LUE gradually increase with increase in AOT. However its slope and absolute values depends on the canopy structure and LAI. In cone canopy cases, LUE has similar patterns in three different LAI cases. In contrast, LUE in sphere canopy cases is quite different. This simulation suggests that LAI is not the only parameter to determine the photosynthesis in heterogeneous landscape. For detail understanding of forest canopy photosynthesis, both angular geometry of incident PAR at TOC and 3-D canopy structure should be examined. 5. Conclusion",[]
A deterministic method to characterize canopy radiative transfer properties,"Investigations of snowcover dynamics beneath vegetation canopies require either measured or estimated solar and thermal radiation values at the snow surface. A deterministic method is presented that uses portable arrays of pyranometers and pyrgeometers to quantify the amount of incoming radiation at the snow surface. Example solar and thermal radiation datasets are presented from boreal deciduous, boreal coniferous and temperate coniferous forest stands. The data indicate that the canopies transmitted 33% (4?€?8 March), 15% (6?€?10 February), and 3% (22?€?24 September) of the above-canopy radiation. In the boreal deciduous and temperate conifer stands, thermal radiation is increased by 25% and 34% respectively. Thermal gains partially offset solar reduction, such that incoming all- wave radiation is decreased by 22% and 25% respectively for each of these stands. When recorded at a high temporal resolution, array data can estimate below-canopy diffuse solar radiation values for estimation techniques that treat direct and diffuse transmission independently. We provide examples of how radiometer array data are used to derive simple canopy radiation transmissivity parameters for global, beam and diffuse radiation. Radiometer arrays also provide data for detailed investigations to assess within-stand radiation variability, or to investigate radiation variations across land cover discontinuities, to advance our understanding of snowcover energetics in complex environments. Copyright ??? 2004 John Wiley & Sons, Ltd.",,[]
A distributed surface energybalance model for complex topography and its application to Storglaci??ren Sweden,,,['Storglaci??ren Sweden']
A factorial snowpack model FSM 10,Abstract. A model for the coupled mass and energy balances,A snowpack model that can be run in 32 different config-,[]
A genetic framework for grain size and shape variation in wheat,,,[]
A Hierarchical Statistical Framework for Emergent Constraints Application to SnowAlbedo Feedback,"Abstract Emergent constraints use relationships between future and current climate states to constrain projections of climate response. Here, we introduce a statistical, hierarchical emergent con- straint (HEC) framework in order to link future and current climate with observations. Un- der Gaussian assumptions, the mean and variance of the future state is shown analytically to be a function of the signal-to-noise (SNR) ratio between data-model error and current- climate uncertainty, and the correlation between future and current climate states. We apply the HEC to the climate-change, snow-albedo feedback, which is related to the seasonal cy- cle in the Northern Hemisphere. We obtain a snow-albedo-feedback prediction interval of (???1.25,???0.58) %K???1. The critical dependence on SNR and correlation shows that neglect- ing these terms can lead to bias and under-estimated uncertainty in constrained projections. The flexibility of using HEC under general assumptions throughout the Earth System is dis- cussed.","Projections of change in the Earth System from anthropogenic forcing is one of the defining challenges in climate science. ECs represent an important approach to incorporat- ing observations into climate-model projections that relate present-day variability to future response. In this work, ECs are explicitly defined through Equation 3 as conditional distri- butions within a HEC framework. Classical EC studies frequently use a linear regression but do not account for both the correlation between zt+?? and xt and the precision in observing xt with yt as does HEC. The formulation of the Maximum A Posterior (MAP) solution in Equation 17 more directly links EC with data assimilation techniques. For non-Gaussian pro- cesses, more advanced tools such as Markov Chain Monte Carlo (MCMC) could be used to compute accurate prediction intervals based on the HEC [Cressie and Wikle, 2011].",[]
A highstrainrate superplastic ceramic,,,[]
A hydrometric and geochemical approach to test the transmissivity feedback hypothesis during snowmelt,"To test the transmissivity feedback hypothesis of runoff generation, surface and subsurface waters were monitored and sampled during the 1996 snowmelt at various topographic positions in a 41 ha forested headwater catchment at Sleepers River, Vermont. Two conditions that promote transmissivity feedback existed in the catchment during the melt period. First, saturated hydraulic conductivity increased toward land surface, from a geometric mean of 3.6 mm h21 in glacial till to 25.6 mm h21 in deep soil to 54.0 mm h21 in shallow soil. Second, groundwater levels rose to within 0.3 m of land surface at all riparian sites and most hillslope sites at peak melt. The importance of transmissivity feedback to streamflow generation was tested at the catchment scale by examination of physical and chemical patterns of groundwater in near-stream (discharge) and hillslope (recharge/lateral flow) zones, and within a geomorphic hollow (convergent flow).","Hydrometric and geochemical evidence support the transmissivity feedback hypothesis of streamflow generation during snowmelt in the W-9 catchment. Saturated hydraulic conductivity increased toward land surface, and groundwater levels rose close to land surface even at hillslope sites during snowmelt.",[]
A hyperspectral method for remotely sensing the grain size of snow,,,[]
A longterm Northern Hemisphere snow cover extent data record for climate studies and monitoring,"Abstract. This paper describes the long-term, satellite-based visible snow cover extent National Oceanic and","A long-term, satellite-based visible snow cover extent CDR",['Northern Hemisphere']
A material point method for snow simulation,,??? Presenting a constitutive model and simulation technique,[]
A maximum in the strength of nanocrystalline copper,,,[]
A method for snowcover mapping of forests by optical remote sensing,,,[]
A method to retrieve the spectral complex refractive index and single scattering optical properties of dust deposited in mountain snow,,,[]
